GRAPH 110 1861:
   23 --  47
   10 --  32
    2 --  69
   50 --  75
   13 --  85
   79 --  81
   35 --  56
    9 --  13
   75 --  81
   65 --  91
   37 --  50
   19 -- 100
   24 --  25
    5 --  89
    6 --  89
   42 --  79
   54 -- 103
    1 -- 105
   39 --  60
    0 --   2
   47 --  76
   60 -- 100
   25 --  62
   69 --  95
   17 -- 105
    2 --   8
   14 --  88
   18 -- 103
   10 --  88
   35 --  80
    0 --  94
    3 --  59
   12 --  86
   16 --  17
   72 --  78
    1 --  86
    2 --  92
   50 --  66
   13 --  78
    5 --  49
   79 --  94
    9 --  54
   51 --  66
   17 --  54
    7 --  63
   28 --  64
   19 -- 109
    6 --  80
   66 --  80
   30 --  90
   79 --  98
    7 --  76
   46 --  89
   47 --  85
   68 --  78
   60 --  99
   69 --  88
   17 --  98
   84 -- 105
    2 --   3
   32 --  95
   24 --  44
   14 --  35
    1 --  62
   47 --  58
   86 --  99
   35 --  89
   20 --  24
  104 -- 108
   59 --  79
   25 --  83
   37 --  83
   27 --  69
    9 --  63
   51 --  75
    7 --  52
    5 --  75
   89 --  95
   53 --  65
   21 -- 104
   44 --  63
    7 --  69
   46 --  96
   12 --  16
   19 --  62
   33 --  88
   24 --  51
   71 --  79
    1 --  55
   57 --  82
   21 --  60
   87 -- 104
   35 --  94
   91 -- 109
   56 --  57
   60 --  78
   25 --  84
   82 --  95
   54 --  60
    2 --  46
   32 --  34
    5 --  35
    9 --  32
   27 --  90
   88 --  92
   51 --  80
    4 --  72
   17 --  32
   63 --  80
    6 --  66
   62 --  63
   54 --  72
   39 --  43
   22 --  97
    7 --  66
   47 --  91
   17 --  92
    2 --  21
   33 --  81
   14 --  45
   89 -- 108
   90 --  98
    1 --   8
   35 --  71
   92 -- 108
   46 --  55
   68 --  96
   60 --  69
    6 --   9
   82 --  86
   37 --  69
    2 --  41
   32 --  57
    9 --  41
   17 --  25
    7 --  42
   48 --  89
   29 --  89
   16 --  50
    6 --  69
   25 -- 105
   53 --  83
   49 --  83
   30 --  79
   13 --  45
    9 --  21
   16 --  65
   17 --  85
   19 --  76
   11 --  27
   32 -- 100
   41 --  95
   57 --  92
   21 --  78
   35 --  76
   44 --  97
   46 --  62
    3 --  23
   60 --  92
   72 -- 106
    2 --  32
   32 --  48
   14 --  64
   62 --  94
   34 --  58
    7 --  35
   16 --  41
    6 --  60
   54 --  90
   10 --  51
   49 --  84
    9 --  30
    3 --  80
   51 -- 106
   17 --  78
   56 --  95
   19 --  85
   53 --  96
   10 -- 103
   66 --  72
   58 --  93
   30 --  98
   57 -- 101
   21 --  87
   43 --  86
   92 --  98
   46 --  65
   20 --  60
   11 --  97
   96 -- 101
   60 --  91
   69 --  96
   62 --  65
   86 --  91
   34 --  53
   52 --  95
    7 --  24
   63 --  79
   48 --  87
   33 --  40
   16 --  32
   72 --  93
   24 --  67
    2 --  79
   41 --  56
   78 --  87
   43 --  62
   17 --  71
    5 --  83
   53 -- 105
   45 --  60
    1 --  19
   66 --  67
   13 --  19
   78 --  99
   83 --  84
   46 --  72
   55 -- 103
   60 --  82
   69 -- 105
    8 --  88
   51 --  63
   84 --  88
   94 --  99
   85 --  86
   22 --  49
    5 --   7
   70 --  95
   13 -- 100
    9 --  92
    1 --  47
   75 --  96
   32 --  78
   21 --  36
   14 --  82
    8 --  39
    7 --  17
    0 --  68
   48 --  78
   29 --  36
   77 -- 106
   16 --  39
    6 --  46
   54 --  84
    2 --  70
   13 --  88
   78 --  94
   35 --  55
   18 --  37
    3 --  94
   52 -- 106
   17 --  56
   43 --  55
    8 --  19
   37 --  53
   20 --  83
   76 --  80
   28 --  78
    6 --  90
   54 --  96
   10 -- 105
   66 --  90
   49 --  50
   30 -- 108
   21 --  89
   22 --  89
   35 --  99
    7 --  90
   12 -- 103
   69 --  82
   60 -- 105
   45 --  70
   19 --  47
    2 --  13
   85 --  95
   32 --  69
   71 --  92
   27 --  63
    1 --  32
   21 --  45
  100 -- 103
   12 --  91
   25 --  69
   72 --  75
   23 --  43
   36 --  81
   13 --  81
    5 --  52
   35 --  60
   27 --  75
   65 --  95
   76 --  79
   77 --  87
    5 --  69
   45 --  46
   10 --  16
   66 --  85
    1 -- 109
   79 --  97
    7 --  83
   46 --  90
   69 --  91
   85 --  88
   14 --  92
    9 --  78
   66 -- 105
   57 --  68
   21 --  54
   39 -- 108
   80 --  99
   43 -- 105
   35 --  84
    0 --  82
    3 --  63
   25 --  78
   81 --  89
    6 --  24
   36 --  88
   28 --  45
    2 --  88
   14 -- 104
   79 --  90
   35 --  37
   18 --  23
    3 --  76
   51 --  70
   17 --  42
    7 --  59
   65 --  80
   77 --  80
   10 --  27
    2 -- 108
   30 --  94
   13 --  62
    7 --  72
   16 --  80
   41 -- 104
   89 -- 102
   14 --  39
   10 --  79
   66 --  96
   86 -- 103
   80 --  90
    0 --  41
   63 --  99
    3 --  36
   59 --  67
   33 --  52
   82 --  96
   45 -- 108
   37 --  95
   54 --  57
   49 -- 105
    9 --  35
   39 --  89
   88 --  89
   51 --  79
   17 --  35
    0 -- 101
   42 --  61
   16 --  56
    6 --  79
    2 -- 103
   67 --  79
   39 --  46
   13 --  55
   44 --  59
    7 --  65
   17 --  95
   56 --  78
   94 --  95
   50 --  60
   33 --  92
   14 --  46
   42 --  97
   62 -- 100
   18 --  85
   57 --  86
   21 --  56
   43 -- 103
   35 --  66
   91 --  97
    0 --  32
   46 --  48
   68 -- 101
   25 --  88
    6 --  10
   82 --  91
   72 --  96
   37 --  88
    2 --  42
   45 -- 101
   62 --  80
   27 --  94
   30 --  57
   39 --  86
    7 --  41
   63 --  92
   28 --  82
   11 --  42
    6 --  70
   36 --  50
   10 --  13
    9 --  16
   47 -- 103
   88 -- 108
   51 --  96
   17 --  80
   56 --  85
    2 --  17
   41 --  90
   24 --  62
   32 --  97
    9 --  97
   18 --  76
    1 --  12
   35 --  75
    3 --  18
   68 -- 108
   60 --  65
   25 --  33
    6 --  13
   45 --  94
   19 --  23
   37 --  65
   62 --  91
    9 --  45
   39 --  79
   63 --  69
   48 --  93
   53 --  95
   50 --  95
    9 --  25
   38 --  51
   51 -- 105
   25 --  30
   16 --  69
   29 -- 105
   14 --  56
   90 -- 105
   66 --  77
   57 --  96
   43 --  85
   92 -- 103
   46 --  66
   55 -- 109
   59 --  86
   69 --  99
   60 --  88
   51 --  53
   45 --  87
    2 --  60
   14 --  68
   70 --  97
   27 --  44
   30 --  43
   63 --  66
   72 --  90
   53 --  88
   54 --  94
   10 --  63
    1 --  66
   41 --  59
   78 --  80
   18 --  47
   55 --  86
   12 --  57
   17 --  66
   76 --  94
   41 --  68
   42 --  90
    6 -- 108
   22 --  67
    7 --  96
   46 --  69
   12 -- 109
   68 --  82
    8 --  85
   19 --  37
    2 --  55
   32 --  75
   13 -- 103
   14 --  79
   70 --  88
   62 --  69
   22 --  50
   21 --  39
   95 --  96
   63 --  75
   55 --  62
   24 --  71
   54 --  81
    1 --  91
    2 --  75
   49 --  65
   50 --  81
   13 --  91
   35 --  50
   18 --  38
    9 --  11
    8 --  16
   17 --  59
   19 --  94
   76 --  85
    5 --  95
    6 -- 103
   45 --  56
    1 --  23
   66 --  95
   21 --  92
   22 --  90
   78 -- 103
    7 --  89
   83 --  88
   12 -- 100
   25 --  52
    2 --  14
   32 --  66
   22 --  53
   71 --  99
   62 --  76
    1 --  35
   57 --  62
   18 -- 109
   47 --  55
   95 -- 105
   80 -- 105
   21 --  32
    8 --  43
    0 --  88
   24 --  78
   16 --  27
   33 --  37
    2 --  66
   79 --  80
   75 --  80
   12 --  47
   17 --  60
    8 --  23
   19 -- 103
   37 --  49
   77 --  90
    5 --  88
   10 --  21
   67 --  92
   30 --  80
   21 -- 101
   35 -- 103
    7 --  86
   46 --  87
    3 --  14
   69 --  94
   36 -- 105
    2 --   9
   85 --  91
    5 --  12
   70 --  74
   14 --  89
   27 --  51
   10 --  89
   18 -- 100
   21 --  41
    4 --  23
   80 --  96
   35 --  83
    7 --  10
   29 --  57
   11 --  79
   23 --  39
   16 --  18
    1 --  85
   41 --  46
   14 -- 101
   79 --  89
   27 --  79
   74 --  77
   40 --  53
   51 --  69
   17 --  53
    7 --  62
   65 --  83
   11 --  59
   24 --  97
    5 --  65
    6 --  81
    1 --  97
   22 --  84
   35 -- 108
    7 --  79
   46 --  94
   17 --  97
   56 --  68
   85 -- 100
   32 --  80
   14 --  32
   66 -- 101
   57 --  72
   43 -- 109
   35 --  88
  100 -- 106
   29 --  50
    3 --  35
   24 --  92
   25 --  82
   82 -- 101
   28 --  41
   13 --  70
   14 -- 108
   35 --  41
   18 --  19
    9 --  62
   39 --  92
   30 --  51
   17 --  46
   65 --  84
   39 --  45
   30 --  66
   46 --  97
   17 --  90
   56 --  75
   28 -- 108
    2 --  27
   85 -- 109
   41 -- 108
   33 --  95
   42 --  98
   32 --  87
   18 --  86
   10 --  75
   57 --  81
   80 --  94
   35 --  65
    0 --  45
   59 --  71
   60 --  79
   25 --  91
   82 --  92
   36 --  67
   45 -- 104
    2 --  47
   28 --  32
   32 --  35
   35 --  46
    9 --  39
   39 --  85
   51 --  83
   60 --  62
   17 --  39
    8 --  12
   28 --  87
   29 --  95
   25 -- 103
   90 --  95
   16 --  60
    6 --  67
   10 --  14
   49 --  89
   30 --  69
   27 -- 105
   18 --  62
   46 -- 104
   88 -- 105
   16 --  75
   56 --  82
    2 --  18
   24 --  59
   57 --  90
   21 --  68
   87 --  96
   43 --  91
   35 --  70
   91 -- 101
   92 -- 109
   96 -- 104
   59 --  92
   60 --  70
   25 --  92
   72 -- 100
    6 --  14
   82 --  87
   58 --  59
   27 --  82
    4 --  48
   17 --  24
    7 --  37
   29 --  88
   16 --  51
   72 --  80
   30 --  76
   16 --  66
   41 --  94
   33 -- 105
   32 -- 101
   57 --  99
   44 --  98
   35 --  79
   48 -- 101
   68 -- 104
   25 --  37
   28 --  54
   22 --  36
   62 --  95
    9 --  81
   30 --  36
   34 --  59
   52 --  81
   29 --  81
   72 --  87
   36 --  37
    1 --  77
   49 --  75
   50 --  91
   13 --  37
   41 --  54
   55 --  85
   12 --  62
    4 --  99
   17 --  77
   56 --  96
   65 --  75
   14 --  60
    5 -- 105
   21 --  86
   22 --  76
   30 --  99
   13 --  25
   44 --  89
   92 --  99
   46 --  70
   68 --  87
   60 --  84
   25 --  46
    2 --  56
   32 --  72
    5 --  29
   14 --  72
   62 --  70
   27 --  32
    9 --  90
   52 --  88
    7 --  27
   63 --  78
    0 --  78
   11 --  92
   48 --  72
   33 --  47
   72 --  94
   36 --  44
    1 --  70
    2 --  76
   54 --  82
   50 --  82
   35 --  49
   18 --  43
   17 --  70
   64 --  90
    8 -- 109
   41 --  72
    5 --  82
    1 --  18
   58 -- 101
   13 --  18
   78 --  96
   44 --  80
    7 --  92
   68 --  94
   60 --  83
   45 --  76
   36 -- 103
    2 --  51
   94 --  96
   84 --  89
   70 --  92
   53 --  60
    9 --  67
    1 --  46
   21 --  35
    4 --  45
    7 --  16
   29 --  35
   59 --  63
    1 --  95
   49 --  69
   13 --  87
   35 --  54
   75 --  95
  103 -- 109
   17 --  63
   64 --  81
   65 --  69
   37 --  52
    5 --  91
    6 --  91
   21 --  88
   44 --  79
   46 --  80
    3 --  13
   69 --  81
   23 --  86
    2 --  10
   32 --  70
   24 --  35
    5 --  15
    9 --  68
   27 --  62
   10 --  90
    1 --  39
    8 --  47
   29 --  60
    3 --  57
   77 --  98
   24 --  82
   81 -- 103
   10 --  45
    1 --  80
  101 -- 108
   79 --  92
   35 --  63
   75 --  84
    3 --  70
   12 --  43
   43 --  47
   17 --  48
    0 -- 104
   65 --  94
   24 --  30
   14 --  17
   10 --  17
   22 --  81
    7 --  82
   69 --  90
   16 --  90
   17 -- 108
   19 --  55
   85 -- 103
   33 --  65
   24 --  42
   70 --  78
    9 --  77
   10 --  69
    1 --  56
   86 -- 109
   52 --  53
   29 --  53
    3 --  62
   11 --  67
   33 --  50
   59 --  77
   81 --  88
    6 --  25
   36 --  89
   28 --  46
    2 --  89
   32 --  41
    5 --  60
   35 --  36
   27 --  67
    3 --  79
   17 --  41
    7 --  58
   11 --  63
   77 --  79
   42 --  51
    2 -- 109
   91 --  95
    7 --  75
   48 --  56
   23 -- 100
   56 --  72
    2 --  28
   24 --  49
   71 --  77
   18 --  91
   10 --  76
   57 --  76
   66 --  97
   21 --  62
   39 -- 100
   80 --  91
   43 --  97
   35 --  92
   52 --  60
   63 --  98
   86 -- 100
    3 --  39
   59 --  66
   25 --  86
   73 --  76
   54 --  62
    2 --  80
    5 --  37
   35 --  45
   39 --  88
    4 --  78
    7 --  51
   63 --  86
   28 --  84
    6 --  76
   36 --  52
    2 -- 100
   13 --  54
    0 --  21
   92 --  94
   55 --  74
   46 -- 101
   12 --  13
   69 --  76
   16 --  72
   17 --  94
   28 -- 104
    2 --  23
   41 --  80
   33 --  83
   14 --  47
    1 --  10
   80 --  82
   26 --  50
   35 --  69
    3 --  44
   60 --  75
   25 --  95
   72 --  97
    6 --  11
    2 --  43
   49 --  97
   61 --  65
   62 --  81
   30 --  62
   39 --  81
   17 --  27
    6 --  71
   49 --  93
   30 --  73
   13 --  47
   44 --  51
   46 -- 108
   48 --  54
   16 --  79
   11 --  25
   50 --  52
   24 --  63
   14 --  54
   33 --  84
   62 -- 108
    1 --   3
   57 --  94
   58 --  84
    0 --  56
   46 --  56
   96 -- 108
   59 --  80
   72 -- 104
   28 --  59
   22 --  33
   14 --  66
   62 --  88
    9 --  44
   39 --  78
   51 --  92
   17 --  28
    7 --  33
    8 --  55
   48 --  94
   29 --  84
   42 --  44
   25 -- 108
    6 --  62
   16 --  55
   54 --  68
   10 --  53
    1 --  72
   27 --  98
    9 --  24
    4 --  96
   16 --  70
   17 --  72
   25 --  29
   56 --  93
   29 -- 104
   11 --  30
   41 --  66
   42 --  80
   14 --  57
   55 -- 108
   60 --  89
   32 --  53
   13 -- 109
   14 --  69
    5 --  16
   75 -- 105
   30 --  40
   17 --  21
    7 --  30
   63 --  77
    8 --  62
   16 --  46
   10 --  60
   78 --  81
   65 --  79
   41 --  75
   42 --  91
   33 -- 102
   45 --  62
   10 --  96
   66 --  69
   57 -- 104
   21 --  82
   13 --  21
    7 --  99
    0 --  54
   11 -- 100
   60 --  80
   25 --  50
   16 -- 105
    8 --  86
   45 --  79
    5 --  25
   70 --  89
    1 --  41
   86 --  92
    7 --  23
   63 --  74
   11 --  80
   33 --  35
   81 -- 105
   73 --  84
   10 --  39
    2 --  72
    1 --  90
   78 --  88
   35 --  53
    9 --  10
   18 --  39
   75 --  90
    3 --  92
   43 --  53
   76 --  86
   42 --  66
    5 --  94
   66 --  92
   49 --  60
   13 --  14
   35 --  97
    7 --  88
    3 --   8
   69 --  84
   16 --  96
   23 --  85
   45 --  72
   33 --  75
   14 --  87
   70 --  80
   53 --  56
   71 --  98
   10 --  95
    9 --  71
    4 --  41
   15 --  89
   24 --  79
   25 --  71
    6 --  35
   33 --  36
   10 --  46
    9 --  51
   75 --  83
   40 --  79
    3 --  69
   17 --  51
   65 --  89
   37 --  48
   20 --  88
   42 --  77
   24 --  27
   54 -- 101
   45 --  48
   49 --  53
   39 --  62
   22 --  82
   79 -- 103
    7 --  81
    0 --   4
   25 --  60
   16 -- 103
    2 --   6
   41 --  97
   32 --  90
   14 --  94
   70 --  75
   27 --  50
    1 --  59
   10 --  70
   80 --  97
   35 --  82
   24 --  86
   16 --  19
   10 --  41
    2 --  90
  101 -- 104
   41 --  45
   22 --  25
   14 -- 106
   79 --  88
   13 --  76
   12 --  39
    4 --  68
    7 --  57
   65 --  82
    0 -- 108
   77 --  82
   24 --  98
   14 --  21
   53 --  70
    1 --  96
   39 --  55
   79 -- 108
   44 --  66
    7 --  78
   83 -- 105
   46 --  95
   68 --  72
   69 --  70
   16 --  94
   17 --  96
   56 --  69
   33 --  69
   71 --  80
   57 --  79
   66 --  98
   35 --  91
    0 --  87
   63 --  97
   29 --  49
   11 --  71
   25 --  81
   81 --  92
   36 --  69
   37 --  81
    2 --  85
   32 --  45
  106 -- 108
   27 --  71
   30 --  48
   39 --  95
   51 --  77
   52 --  69
   17 --  45
   29 --  69
   11 --  51
   42 --  63
   14 --  28
    2 -- 105
   67 --  77
   30 --  67
   22 -- 108
    0 --  18
   12 --  18
   69 --  79
   16 --  85
   17 --  89
   19 --  64
   50 --  62
   32 -- 104
   89 -- 105
   10 --  72
   57 --  80
    1 --  53
   39 --  96
   80 --  95
    0 --  46
   48 -- 104
    3 --  43
   59 --  70
   45 -- 103
    2 --  44
    5 --  33
   62 --  82
   27 --  92
   30 --  59
    8 --  13
   63 --  82
   90 --  92
   53 --  72
   54 --  78
    2 --  96
   49 --  88
   46 -- 105
    3 -- 100
   69 --  72
   16 --  76
    2 --  19
   90 --  96
    1 --  14
   80 --  86
   35 --  73
   91 -- 100
   46 --  53
   96 -- 105
    3 --  16
   60 --  71
   25 --  35
   72 -- 101
   36 --  75
   28 --  56
    2 --  39
   45 --  96
   62 --  85
   52 --  75
    7 --  36
    6 --  59
   53 --  81
   10 --  54
    1 --  75
   49 --  81
   30 --  77
   13 --  43
   27 --  97
    9 --  27
    3 -- 109
    4 -- 101
   15 --  21
   17 --  75
   56 --  90
   53 -- 101
   27 --  30
    1 --   7
   66 --  79
   35 --  78
    7 -- 105
   46 --  60
   60 --  94
   25 --  36
   72 -- 108
   45 --  89
    2 --  62
   22 --  37
   14 --  70
   62 --  92
   27 --  42
    9 --  80
    4 --  56
    8 --  59
    7 --  29
    0 --  72
   48 --  82
   16 --  43
   53 --  90
   54 --  88
    1 --  76
   41 --  53
   50 --  88
   78 --  82
   38 --  52
    3 --  82
    4 -- 108
    8 -- 103
   56 --  97
   76 --  92
   41 --  70
   42 --  92
   66 --  70
   44 --  90
    3 --  30
   59 -- 109
   51 --  56
   25 --  45
   45 --  82
   22 --  60
   70 --  90
    9 --  89
   27 --  35
   21 --  25
   30 --  44
   52 --  89
   76 -- 103
   24 --  69
   72 --  95
   10 --  56
    1 --  69
   50 --  83
   75 --  89
    3 --  91
   17 --  69
   56 -- 104
   76 --  91
   42 --  71
    5 --  81
    6 --  97
   10 -- 108
    1 --  17
   58 --  98
   57 -- 108
   13 --  17
   21 --  94
    7 --  95
    0 --  10
   46 --  78
    3 --   7
   59 --  98
   60 -- 108
   25 --  54
   15 --  47
   73 -- 108
   16 -- 109
   19 --  40
   71 --  97
   62 --  78
   27 --  56
   10 --  80
    9 --  66
    4 --  46
   34 --  74
   24 --  76
   16 --  25
    6 --  44
   36 --  84
   10 --  35
   13 --  86
   78 --  92
   79 --  86
   35 --  57
    9 --  14
  103 -- 108
    4 --  82
   17 --  62
   28 --  72
   76 --  82
   77 --  92
    6 --  88
   58 -- 109
   30 --  82
   21 -- 103
   22 --  95
   67 --  90
   78 -- 104
    7 --  84
   83 --  95
   46 --  81
    3 --  12
   68 --  70
   60 -- 107
   69 --  80
   16 -- 100
   45 --  68
    2 --  11
   94 -- 104
   61 --  97
    4 --  21
   35 --  81
   11 --  77
   12 --  85
   77 --  97
   25 --  75
    6 --  39
   82 -- 108
   36 --  83
    2 --  95
   50 --  69
   13 --  79
   14 -- 103
    5 --  50
   35 --  62
   79 --  95
   27 --  77
   51 --  67
    7 --  60
   37 --  60
   21 --  96
   79 --  99
   44 --  71
   46 --  88
   69 --  89
   16 --  91
   64 -- 101
   56 --  66
   65 -- 105
   41 -- 101
   32 --  94
   70 --  79
   10 --  66
   47 --  59
    4 --  28
   35 --  86
   29 --  52
   11 --  66
   12 --  76
   33 --  49
   24 --  90
   81 --  95
    6 --  30
   16 --  23
   37 --  84
    2 --  86
   22 --  29
   35 --  39
   27 --  66
   38 --  80
    3 --  78
   51 --  72
    7 --  53
    0 --  96
   28 --  94
   14 --  25
    6 --  74
   53 --  66
   10 --  25
    1 -- 100
   30 --  92
   13 --  60
   22 -- 105
   91 --  94
   55 --  76
   48 --  57
   12 --  23
   16 --  82
   23 -- 103
   37 -- 105
   33 --  89
   71 --  76
   62 --  99
   39 -- 103
   80 --  92
   26 --  40
   91 -- 106
   35 --  95
    6 --  17
   82 --  94
   36 --  65
    2 --  81
    5 --  36
   27 --  91
   39 --  91
   52 --  65
    7 --  50
   29 --  65
   42 --  59
    6 --  77
   53 --  75
   36 --  53
    2 -- 101
   30 --  71
    3 --  99
   88 -- 103
   69 --  75
   56 --  80
   32 -- 108
   24 --  57
   41 --  87
   21 --  70
   91 --  99
   46 --  54
   48 -- 108
    3 --  47
   59 --  90
   25 --  94
   32 --  56
   62 --  86
   27 --  80
    9 --  42
   30 --  63
    4 --  54
   51 --  86
   17 --  26
   63 --  94
   11 --  44
   53 --  84
   36 --  60
   30 --  78
   13 --  46
   51 --  98
   25 --  27
   56 --  87
   28 --  96
   11 --  24
   50 --  53
   62 -- 109
    9 -- 103
    1 --   2
   67 --  98
   21 --  79
    0 --  57
   46 --  57
   23 --  73
   25 --  39
   72 -- 105
   45 --  92
    2 --  35
   50 -- 105
    5 --  22
   70 -- 108
   62 --  89
   27 --  41
   51 --  95
    7 --  32
   63 --  71
   29 --  83
   76 -- 109
    6 --  63
   41 --  48
   13 --  39
   78 --  79
   55 --  91
   40 --  91
   16 --  71
   17 --  79
   64 --  65
    8 -- 100
   56 --  94
   11 --  17
   14 --  62
   53 --  97
   18 --  69
    1 --  27
   66 --  75
   21 --  72
    0 --  48
   92 --  97
    3 --  29
   69 --  97
