GRAPH 110 1613:
   87 -- 101
   34 --  83
   52 --  57
    0 --  47
    3 --  42
    6 --  21
   82 --  90
   93 -- 108
   97 -- 105
    5 --  32
    9 --  37
   39 --  87
   52 --  77
    8 --  14
   63 --  93
   37 --  42
   28 --  81
   90 --  93
   53 --  87
   30 --  75
    9 --  17
   48 --  52
   16 --  77
   56 --  84
   28 -- 101
   19 --  72
   32 --  96
   24 --  61
   33 --  86
   90 --  97
    5 -- 101
    9 --  98
   21 --  66
    4 --  14
   80 --  87
   87 --  98
   91 -- 103
   48 --  96
   20 --  41
   72 -- 102
   32 --  60
   62 --  90
   39 --  76
   21 --  22
   63 --  90
   72 --  82
   31 --  64
    9 --  26
   18 --  55
   55 --  94
   15 --  20
   11 --  28
   32 -- 103
   41 --  92
   53 -- 100
    9 -- 107
   18 --  70
   66 --  76
   58 --  81
   44 --  92
   48 -- 103
    3 --  24
   59 --  87
   69 -- 100
   23 --  69
   72 -- 109
   28 --  48
   84 --  85
   70 --  96
    9 --  87
   39 --  69
   21 --  31
   15 --  73
    7 --  28
   11 --  89
   76 -- 105
   16 --  44
   41 --  52
   13 --  35
   47 -- 106
   56 --  98
   76 --  93
    5 --  87
   53 -- 109
    1 --  31
   21 --  84
   22 --  66
   20 --  63
   69 -- 109
   60 --  86
   25 --  44
   51 --  59
   15 --  33
   19 --  34
   32 --  74
   70 --  91
   75 -- 108
   39 --  66
   86 --  94
   52 --  90
   15 --  86
    0 --  64
   48 --  74
   11 --  94
   76 --  96
   73 --  86
   49 --  66
   41 --  61
   74 --  90
    3 --  90
   76 --  84
    6 -- 102
   66 --  94
   21 --  93
   13 --  16
   44 --  82
   46 --  79
   47 --  71
   59 -- 101
   60 -- 109
   25 --  53
   69 --  86
   84 --  91
   94 -- 102
   22 --  52
   13 --  97
   61 -- 103
   71 --  96
   62 --  79
    1 --  44
   53 --  58
   70 --  82
   21 --  33
   57 --  63
   87 --  93
   15 --  95
   29 --  33
   73 --  95
   78 --  93
   64 --  83
   76 --  83
   24 --  25
   58 -- 106
   21 -- 102
   31 --  99
   44 --  73
    7 --  87
   83 --  94
   47 --  76
    3 --  15
   25 --  62
   19 --  48
   94 -- 105
   33 --  78
   24 --  37
   61 --  96
    9 --  74
    1 --  37
   34 --  66
    0 --  94
    3 --  59
   33 --  63
   16 --  17
   25 --  74
   82 -- 109
   81 -- 101
    5 --  49
   79 --  94
   12 --  37
   15 -- 104
   19 -- 109
   37 --  59
   24 --  96
    1 --  98
   30 --  90
   39 --  53
   83 -- 103
   47 --  85
   16 --  92
    8 --  73
   64 -- 102
   84 -- 105
   14 --  35
   57 --  73
   47 --  58
   26 --  46
    0 --  85
   82 -- 100
   13 --  71
    5 --  58
   27 --  69
   75 --  79
   39 --  93
   17 --  47
    0 --  97
   20 -- 108
   42 --  49
   14 --  30
    6 --  75
   89 --  95
   30 --  93
   31 --  81
   44 --  63
    7 --  69
   48 --  58
   17 --  91
   19 --  62
   32 --  86
   42 -- 101
   89 -- 107
   24 --  51
   62 --  96
   18 --  89
   57 --  82
   39 -- 102
   52 --  62
   34 --  84
   63 -- 108
   20 --  39
   60 --  78
   23 --  58
   81 --  87
    6 --  22
   82 --  95
   28 --  39
   31 --  42
   35 --  47
    9 --  32
   39 --  90
    8 --  11
   28 --  86
   25 --  96
    6 --  66
   53 --  74
   22 --  97
   48 --  49
   47 --  91
    3 --  98
   69 --  74
   16 --  74
   17 --  92
   32 -- 109
   24 --  58
   89 -- 108
   41 --  86
    0 --  35
   92 -- 108
   48 -- 109
    3 --  46
   60 --  69
   25 --  93
   23 --  51
   82 --  86
   28 --  62
   37 --  69
   32 --  57
   97 -- 109
   70 -- 106
   52 --  73
   17 --  25
    7 --  42
   63 --  89
    6 --  69
    9 --  21
   55 --  93
    3 -- 107
   51 -- 101
   19 --  76
   20 --  70
   32 -- 100
   33 -- 106
   42 --  87
   90 -- 109
   53 -- 103
   14 --  52
   41 --  95
   57 --  92
   34 -- 102
   92 -- 107
   48 -- 100
   46 --  62
    3 --  23
   69 -- 103
   28 --  53
   37 --  78
   32 --  48
   97 -- 102
   39 --  72
   30 --  39
   17 --  18
    8 --  57
   63 --  70
   11 --  36
   23 --  28
   16 --  41
    1 --  78
   74 --  84
   47 -- 105
    3 --  80
   52 -- 100
   15 --  16
   64 --  66
   19 --  85
   11 --  16
   20 --  77
   14 --  63
   53 --  96
   66 --  72
   58 --  93
   21 --  87
   22 --  79
   34 --  97
    3 --  28
   69 --  96
   32 --  55
    9 --  91
   27 --  33
   75 -- 107
   52 --  95
    7 --  24
   48 --  87
   11 --  93
   31 --  53
   78 --  87
   74 --  95
   55 --  83
    3 --  89
    8 -- 108
   19 --  90
   41 --  73
   53 -- 105
    1 --  19
   22 --  70
   43 --  79
   83 --  84
   55 -- 103
   46 --  72
    3 --   5
   51 --  63
   25 --  48
   16 -- 107
   32 --  78
    5 --   7
   14 --  82
   53 --  61
   62 --  72
    9 --  92
   75 --  96
   70 --  95
   34 --  76
   15 --  82
    8 --  39
   48 --  78
   11 --  82
    3 --  49
   59 --  60
   16 --  39
    6 --  46
   73 --  90
   50 --  76
   78 --  94
   61 --  62
   79 --  84
   64 --  80
   19 --  99
   37 --  53
   28 --  78
   11 --  14
    6 --  90
   66 --  90
   21 --  89
   30 -- 108
   44 --  78
   46 --  83
   69 --  82
   23 --  87
    8 --  95
   64 -- 108
   19 --  47
   84 -- 103
   32 --  69
   33 --  73
   70 --  86
    9 --  69
   21 --  45
   87 --  89
    8 --  46
    0 --  91
   48 --  69
   33 --  58
   25 --  69
   72 --  75
   24 --  81
   16 --  30
    1 --  81
  101 -- 109
   50 --  71
   31 --  59
    9 --  49
   28 --  69
   20 --  90
   76 --  79
    5 --  69
   14 --  16
   45 --  46
    1 -- 109
   66 --  85
   78 -- 109
   79 --  97
   35 -- 104
   44 --  69
    0 --   6
   46 --  90
   47 --  72
   16 --  89
    8 --  70
   64 --  99
   37 --  98
   94 -- 109
    5 --   9
   14 --  92
   70 --  73
   27 --  52
    9 --  78
   66 -- 105
   39 -- 108
   86 -- 108
   34 --  94
   16 --  21
    6 --  24
   25 --  78
  102 -- 108
   22 --  31
    5 --  61
   79 --  90
   31 --  32
    9 --  58
  108 -- 109
    7 --  59
   24 -- 100
    5 --  78
    6 --  84
   89 --  90
   21 -- 107
   31 --  84
   26 -- 102
    0 --  29
   91 --  92
   44 --  60
   47 --  81
   23 -- 101
    8 --  77
   93 --  94
   85 --  97
   24 --  48
   33 --  91
   14 --  39
   57 --  77
   58 --  69
   86 -- 103
    0 --  41
   33 --  52
    6 --  19
   82 --  96
   73 --  77
  102 -- 103
   13 --  67
   39 --  89
    7 --  48
    6 --  79
   92 --  93
   46 -- 100
   48 --  62
   47 --  94
   16 --  87
   23 --  98
   19 --  66
   33 --  92
   62 -- 100
   57 --  86
   91 --  97
   46 --  48
   60 --  74
   72 --  96
   45 -- 101
   93 -- 107
    2 --  42
   32 --  38
   49 --  98
   27 --  94
   30 --  57
   39 --  86
   34 --  36
    8 --  15
   63 --  92
   28 --  82
   25 -- 100
   16 --  63
   53 --  86
   36 --  50
   31 --  90
    9 --  16
   48 --  53
   47 -- 103
   64 --  72
   28 -- 102
   32 --  97
   24 --  62
   41 --  90
   57 --  95
   58 --  87
   91 -- 102
   48 --  97
    3 --  18
   59 --  81
   25 --  33
   72 -- 103
   28 --  58
   32 --  61
   61 --  91
   39 --  79
   25 -- 109
   72 --  83
   53 --  95
    1 --  73
   49 --  87
    9 --  25
   64 --  79
    5 -- 109
    9 -- 106
    1 --   5
   21 --  74
   22 --  72
   44 --  93
   55 -- 109
   46 --  66
   11 -- 108
   51 --  53
   28 --  49
   32 --  52
   53 --  55
    9 --  86
   74 -- 108
   27 --  44
   52 --  92
    7 --  31
   48 --  84
   23 --  24
   72 --  90
    6 --  48
   18 --  47
   55 --  86
   52 --  96
   11 --  20
   76 --  94
   20 --  73
   33 -- 103
    6 -- 108
   53 -- 108
   58 --  89
   21 --  83
   68 --  82
   60 --  87
   25 --  51
   15 --  32
   73 -- 105
   69 -- 108
   51 --  58
   32 --  75
   22 --  50
   61 -- 109
   62 --  69
    1 --  42
   21 --  39
   86 --  95
   52 --  91
   48 --  75
   76 --  97
   33 --  44
   81 -- 106
   31 --  49
   35 --  50
   12 --  48
    3 --  93
    8 --  16
   19 --  94
   76 --  85
   41 --  77
   42 --  69
    6 -- 103
    1 --  23
   21 --  92
   31 -- 101
   78 -- 103
   46 --  76
   47 --  70
    3 --   9
   68 --  89
   25 --  52
   15 --  41
   64 -- 105
    8 --  92
   94 -- 103
   13 --  96
   14 --  86
   61 -- 102
   62 --  76
   75 -- 100
   21 --  32
   87 --  92
   34 --  72
   99 -- 106
   11 --  86
    3 --  53
   24 --  78
    6 --  34
   31 --  62
   18 --  33
   64 --  84
   37 --  49
   19 -- 103
   20 --  95
   77 --  90
    6 --  94
   54 -- 100
   45 --  49
   58 -- 107
   39 --  63
   31 --  98
   79 -- 100
   44 --  74
   83 --  97
   47 --  79
   69 --  94
   25 --  61
   60 -- 101
   19 --  51
   84 --  99
   37 -- 101
   85 --  91
   33 --  77
   14 --  89
   70 --  74
   26 --  36
    3 --  58
   25 --  73
   72 --  79
   16 --  18
  102 -- 105
   14 -- 101
    5 --  48
    9 --  53
   74 --  77
   51 --  69
    8 --  30
   19 -- 108
   37 --  58
   14 --  20
   39 --  52
   22 --  84
   79 -- 109
   44 --  65
   83 -- 102
   46 --  94
   47 --  84
   16 --  93
   15 --  63
   64 -- 103
    8 --  74
   33 --  70
   70 --  77
    1 --  61
   58 --  70
    4 --  30
   59 --  78
   33 --  55
   25 --  82
    6 --  28
   23 --  60
   32 --  44
   14 -- 108
   61 --  76
   38 --  86
   39 --  92
   34 --  46
    6 --  72
   46 --  97
   47 --  93
   55 --  78
   48 --  59
   28 -- 108
   41 -- 108
   24 --  52
   89 -- 106
   42 --  98
   62 --  97
   33 --  95
   87 -- 107
   34 --  85
   52 --  63
   44 -- 108
   23 --  53
   82 --  92
   28 --  32
   49 -- 109
   61 --  69
    9 --  39
   27 --  93
   30 --  58
   39 --  85
   17 --  39
   28 --  87
   11 --  41
   25 -- 103
   90 --  95
   54 --  73
   22 -- 102
   44 --  55
   55 --  71
    3 -- 101
   16 --  75
    2 --  18
   42 -- 109
   24 --  59
   90 --  99
   57 --  90
    3 --  17
   72 -- 100
   93 -- 103
   58 --  59
   97 -- 108
   70 -- 107
   62 --  84
   39 --  82
   52 --  74
   15 --  70
    7 --  37
   48 --  90
   53 --  82
    3 -- 106
   64 --  76
   28 --  98
   19 --  79
   41 --  94
   53 -- 102
    9 -- 101
    4 --  11
   43 --  80
   34 -- 103
   48 -- 101
   69 -- 102
   60 --  93
   45 --  90
   50 -- 103
   98 -- 109
    9 --  81
   74 --  97
   39 --  75
   48 --  81
   11 --  39
   23 --  31
    6 --  61
   10 --  48
   27 -- 103
    3 --  83
   51 -- 109
   52 -- 101
   19 --  84
    6 -- 105
   22 --  76
   44 --  89
   96 -- 102
    3 --  31
   15 --  39
    8 --  82
   19 --  32
   32 --  72
   27 --  32
    8 --  33
   48 --  72
   11 --  92
   76 -- 102
   33 --  47
   16 --  33
    6 --  52
   73 --  80
   72 --  94
    1 --  70
   41 --  63
   35 --  49
   74 --  92
   52 -- 108
   17 --  70
   64 --  90
   76 --  90
    6 --  96
   58 -- 101
   55 -- 102
   51 --  62
   25 --  55
   16 -- 108
   15 --  44
    8 --  89
   32 --  79
   70 --  92
   53 --  60
   27 --  57
   95 -- 108
   15 --  93
   48 --  79
    3 --  48
   24 --  75
    6 --  47
   73 --  89
   49 --  69
  103 -- 109
   43 --  54
    8 --  20
   19 --  98
   28 --  79
   20 --  92
   77 --  93
    6 --  91
   66 --  91
   21 --  88
   31 --  97
   22 --  94
   47 --  66
   69 --  81
   15 --  53
   17 -- 107
   64 -- 109
   19 --  46
   85 --  94
   33 --  72
    5 --  15
   70 --  87
   14 --  90
   15 --  90
    7 --   9
   11 --  74
   24 --  82
   23 --  42
   72 --  76
   33 --  57
   31 --  58
   14 -- 102
    5 --  51
   26 --  72
   27 --  74
   74 --  78
   75 --  84
    9 --  48
   12 --  43
    3 --  70
   20 --  91
   77 --  86
    6 --  82
    1 -- 108
   21 --  97
   79 --  96
   44 --  70
   83 -- 101
   46 --  91
   69 --  90
   16 --  90
   85 -- 103
   32 --  93
   33 --  65
   24 --  42
   14 --  93
   27 --  55
   66 -- 102
   86 -- 109
   52 --  53
    0 --  83
   20 --  30
    6 --  25
   82 -- 102
  102 -- 109
    5 --  60
   61 --  79
    7 --  58
   11 --  63
   42 --  51
   24 -- 101
    6 --  85
    1 -- 101
   39 --  48
   21 -- 106
   31 --  87
   79 -- 105
   44 --  61
   30 --  95
   55 --  77
   32 --  84
   24 --  49
   33 --  90
   71 --  77
   18 --  91
    1 --  49
   66 --  97
   39 -- 100
   21 --  62
   91 -- 107
    3 --  39
   25 --  86
   28 --  37
  106 -- 107
    5 --  37
   61 --  72
   51 --  78
   17 --  34
    7 --  51
    0 -- 102
   37 --  47
   20 -- 105
   63 --  86
   11 --  52
   24 -- 108
   42 --  58
    6 --  76
   53 --  76
   16 --  57
   30 --  70
   39 --  41
   44 --  52
    0 --  21
   55 --  74
   47 --  89
   69 --  76
   85 -- 105
   90 -- 100
   80 --  82
   44 -- 104
   20 --  44
   23 --  49
   72 --  97
   28 --  60
   93 -- 106
   58 --  60
   32 --  39
   22 --  46
   27 --  81
    9 --  43
   51 --  87
   52 --  79
   63 --  95
   11 --  45
    6 --  71
   30 --  73
   31 --  69
   18 --  58
   27 -- 109
   46 -- 108
    9 --  23
   47 -- 102
   17 --  87
   19 --  74
   41 --  89
   62 -- 108
    1 --   3
   21 --  64
   44 -- 103
    7 -- 109
   48 --  98
    3 --  21
   96 -- 108
   25 --  32
   23 --  78
   28 --  59
   19 --  22
   32 --  62
    5 --  23
   61 --  90
   27 --  86
    9 --  44
   30 --  33
   52 --  86
   76 -- 108
   25 -- 108
    6 --  62
   53 --  94
   72 --  84
   10 --  53
    9 --  24
   74 --  86
   40 --  90
   16 --  70
   19 --  83
   11 --  30
   33 -- 109
   14 --  57
   53 --  98
   44 --  94
    7 -- 106
   55 -- 108
   60 --  89
   25 --  41
   69 --  98
   19 --  31
   50 --  99
   32 --  53
   74 -- 109
   52 --  93
   17 --  21
   63 --  77
    6 --  49
   72 --  91
   78 --  81
   38 --  43
    3 --  87
   29 --  97
   20 --  74
    6 -- 109
   49 --  59
   22 --  64
   46 --  74
   20 --  57
    8 --  86
    2 --  52
   84 --  94
   32 --  76
   61 -- 108
   70 --  89
   62 --  74
    9 --  94
   86 --  92
    7 --  23
    0 --  66
   48 --  76
   63 --  74
   76 --  98
   77 -- 108
   33 --  35
   24 --  72
   13 --  90
   31 --  48
   18 --  39
   75 --  90
   40 --  72
    3 --  92
   17 --  58
   64 --  94
   28 --  76
   19 --  97
    6 -- 100
   49 --  60
   21 --  91
   22 --  91
   44 --  76
   83 --  91
    8 --  93
   84 -- 101
   24 --  32
   18 -- 106
   21 --  47
   99 -- 109
   15 --  89
    8 --  44
   11 --  73
   77 -- 101
   24 --  79
   81 --  98
   73 --  93
   79 --  83
    9 --  51
    3 --  69
  103 -- 105
   64 --  85
   28 --  75
   37 --  48
   19 -- 102
   77 --  89
   42 --  77
   49 --  53
   39 --  62
   31 -- 109
   79 -- 103
   44 --  75
    7 --  81
   83 --  96
   46 --  84
   69 --  93
   25 --  60
   64 --  97
   28 --  31
   84 -- 108
   32 --  90
   24 --  39
    1 --  59
   57 --  70
   21 --  40
   34 --  64
  100 -- 108
   25 --  72
   36 --  94
   27 --  78
   12 --  39
   20 -- 103
   77 --  82
   24 --  98
   67 --  68
   21 -- 109
   22 --  85
   79 -- 108
    7 --  78
   83 -- 105
   47 --  87
   37 -- 109
   33 --  69
   14 --  33
   18 --  92
    1 --  60
   39 -- 107
   87 -- 109
   34 --  91
   26 --  44
    0 --  87
   81 --  92
   37 --  81
   28 --  42
   61 --  75
    9 --  61
   39 --  95
   52 --  69
   34 --  47
   89 --  93
    6 --  73
   53 --  79
   30 --  67
   22 -- 108
   39 --  44
   44 --  57
   48 --  60
   47 --  92
   46 -- 102
   69 --  79
   17 --  89
   28 -- 109
   19 --  64
   24 --  53
   33 --  94
   62 -- 102
   18 --  87
    1 --  53
   58 --  78
   39 --  96
   21 --  58
   87 -- 106
   44 -- 109
    0 --  46
   20 --  33
   12 --  70
   25 --  90
   82 --  93
   36 --  76
   28 --  33
   93 -- 109
   62 --  82
   27 --  92
   52 --  76
   63 --  82
   29 --  94
   25 -- 102
    6 --  64
   53 --  72
   90 --  92
   30 --  74
   22 -- 103
    9 --  18
   48 --  51
   46 -- 105
   69 --  72
   28 -- 100
   33 --  87
   24 --  60
   90 --  96
   57 --  89
   96 -- 105
    3 --  16
   23 --  77
   72 -- 101
   19 --  21
   49 -- 101
   97 --  99
    5 --  42
   22 --  34
    9 --  47
   74 -- 103
   39 --  77
   52 --  75
    8 --  52
   11 --  33
   16 --  52
   53 --  81
   49 --  81
   30 --  77
    9 --  27
    3 -- 109
   32 -- 102
   41 --  93
   53 -- 101
    1 --   7
   66 --  79
   21 --  76
   48 -- 102
    3 --  25
   60 --  94
   69 -- 101
   72 -- 108
   14 --  70
    9 --  80
   39 --  74
   34 --  56
   52 --  82
    0 --  72
   48 --  82
   53 --  90
   31 --  78
    9 --  28
   74 --  82
   47 -- 107
   52 -- 102
   20 --  79
   41 --  70
    5 -- 104
    9 -- 109
    1 --  24
   58 --  91
   21 --  85
   44 --  90
   20 --  62
   59 -- 109
   98 -- 101
    5 --  28
   14 --  73
    9 --  89
   70 --  90
   75 -- 109
   30 --  44
   86 --  89
   52 --  89
    7 --  26
    0 --  79
   55 --  60
   63 --  73
   76 -- 103
   11 --  95
   24 --  69
   16 --  34
    6 --  53
    1 --  69
   35 --  48
   74 --  93
    3 --  91
   52 -- 109
   64 --  91
   20 --  86
   76 --  91
    5 --  81
    6 --  97
   57 -- 108
   58 --  98
   21 --  94
    3 --   7
   59 --  98
   69 --  87
    8 --  90
   73 -- 108
   84 --  90
   94 --  97
   32 --  64
   70 --  93
   53 --  59
   21 --  34
   15 --  92
    8 --  41
   48 --  64
    3 --  51
   24 --  76
   33 --  39
   81 -- 109
   49 --  68
   13 --  86
   31 --  60
    9 --  14
   28 --  72
   37 --  51
   76 --  82
   20 --  93
   42 --  78
   77 --  92
    6 --  88
   14 --  15
   10 --  23
   58 -- 109
   39 --  61
   21 -- 103
   30 --  82
   23 --  81
   17 -- 106
   15 --  52
   84 --  97
   87 --  91
   11 --  77
   25 --  75
    6 --  39
   82 -- 108
   23 --  37
    1 --  87
   13 --  79
   14 -- 103
   31 --  37
    9 --  55
    7 --  60
    0 -- 105
   37 --  60
   11 --  57
   24 --  31
    6 --  83
   66 --  83
   39 --  58
   46 --  88
   60 --  98
   16 --  91
   85 -- 102
   32 --  94
   66 -- 103
   57 --  74
    0 --  84
    3 --  33
   24 --  90
   25 --  76
   73 --  74
    5 --  59
   18 --  21
   75 --  76
   38 --  80
    3 --  78
    7 --  53
   24 -- 102
   42 --  48
   21 -- 105
   22 -- 105
   30 --  92
    0 --  31
   91 --  94
   46 --  99
   47 --  83
   16 --  82
    2 --  29
   32 --  85
   33 --  89
   62 --  99
    1 --  48
   10 --  77
   34 --  87
   52 --  61
   91 -- 106
   46 --  47
   59 --  69
   23 --  59
   32 --  33
    9 --  33
   39 --  91
   30 --  52
   51 --  81
   17 --  33
    0 -- 103
   24 -- 109
   16 --  58
   42 --  59
   53 --  75
   44 --  53
    7 --  67
   92 --  95
   55 --  69
    0 --  22
   12 --  14
   69 --  75
   16 --  73
   17 --  93
   32 -- 108
   33 --  82
   14 --  44
    1 --   9
   21 --  70
    0 --  34
   63 -- 106
   48 -- 108
    3 --  47
   25 --  94
    6 --   8
   23 --  48
   36 --  72
   28 --  61
   82 --  89
   22 --  47
    9 --  42
   30 --  63
   52 --  72
   11 --  44
   46 -- 109
   47 --  97
   51 --  98
   16 --  64
   25 --  27
   64 --  74
   28 --  96
   20 --  69
   32 --  99
   33 -- 107
    5 --  98
   90 -- 108
   62 -- 109
    9 -- 103
   57 --  93
   58 --  85
   21 --  79
   34 -- 105
   92 -- 106
   48 --  99
   29 --  31
   96 -- 109
   20 --  52
   25 --  39
   72 -- 105
   28 --  52
   97 -- 103
   70 -- 108
   74 --  99
   39 --  73
   15 --  77
   29 --  83
   76 -- 109
   72 --  85
   53 --  93
    1 --  79
    9 --  31
   74 --  87
    3 --  81
   25 --  28
   33 -- 108
   42 --  81
   58 --  92
   21 --  72
   44 --  95
    7 -- 101
   46 --  64
   20 --  51
   96 -- 100
   59 -- 104
   28 --  51
